Item_ID,Item_Category,Item_Price,Units_Sold,Total_Sales,Profit,Profit_Margin,Outlet_Type,Outlet_Size,Region,State,City,City_Tier,Store_Age,Customer_Age_Group,Customer_Gender,Avg_Customer_Spend,Year
BB00001,Electronics,19557,131,2561967,819829.44,32,Convenience Store,Small,South,Karnataka,Bangalore,Tier 1,11,18-25,Male,1548,2021
BB00002,Grocery,10852,157,1703764,425941.0,25,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 2,11,26-35,Female,7193,2022
BB00003,Clothing,45726,121,5532846,1825839.18,33,Supermarket,Small,East,West Bengal,Kolkata,Tier 2,14,18-25,Male,4476,2022
BB00004,Personal Care,34872,203,7079016,2265285.12,32,Convenience Store,Small,South,Karnataka,Bangalore,Tier 2,11,46+,Female,7667,2021
BB00005,Grocery,12485,227,2834095,708523.75,25,Supermarket,Small,West,Gujarat,Ahmedabad,Tier 1,2,18-25,Male,3007,2020
BB00006,Grocery,21801,31,675831,175716.06,26,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 2,11,26-35,Male,1398,2020
BB00007,Personal Care,18157,276,5011332,1753966.2,35,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 3,3,36-45,Female,4734,2024
BB00008,Home & Kitchen,5870,313,1837310,606312.3,33,Supermarket,Large,East,Odisha,Bhubaneswar,Tier 3,13,18-25,Male,2475,2020
BB00009,Home & Kitchen,22833,448,10229184,3068755.2,30,Supermarket,Medium,East,Odisha,Bhubaneswar,Tier 2,12,36-45,Male,6462,2023
BB00010,Electronics,25819,152,3924488,981122.0,25,Supermarket,Small,South,Karnataka,Bangalore,Tier 3,1,36-45,Female,7990,2021
BB00011,Home & Kitchen,11318,383,4334794,1170394.38,27,Convenience Store,Small,North,Delhi,New Delhi,Tier 3,6,18-25,Female,2502,2020
BB00012,Grocery,11001,465,5115465,1330020.9,26,Supermarket,Large,West,Maharashtra,Pune,Tier 2,1,26-35,Male,5836,2023
BB00013,Clothing,4092,99,405108,101277.0,25,Supermarket,Large,West,Maharashtra,Pune,Tier 1,10,36-45,Female,1913,2021
BB00014,Electronics,21425,293,6277525,1946032.75,31,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 3,7,36-45,Male,2722,2023
BB00015,Personal Care,1593,264,420552,100932.48,24,Convenience Store,Medium,East,West Bengal,Kolkata,Tier 3,2,26-35,Male,5108,2024
BB00016,Grocery,23264,294,6839616,1709904.0,25,Convenience Store,Medium,West,Gujarat,Ahmedabad,Tier 2,15,18-25,Female,5958,2023
BB00017,Grocery,40842,39,1592838,350424.36,22,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 1,11,46+,Male,7290,2024
BB00018,Personal Care,24987,485,12118695,3150860.7,26,Supermarket,Large,West,Maharashtra,Pune,Tier 1,4,36-45,Male,6711,2021
BB00019,Home & Kitchen,36304,282,10237728,2047545.6,20,Supermarket,Large,North,Delhi,New Delhi,Tier 2,11,26-35,Male,2666,2024
BB00020,Home & Kitchen,15763,242,3814646,1106247.34,29,Convenience Store,Small,South,Karnataka,Bangalore,Tier 1,6,26-35,Female,1187,2020
