Item_ID,Item_Category,Item_Price,Units_Sold,Total_Sales,Profit,Outlet_Type,Outlet_Size,Region,State,City,City_Tier,Store_Age,Customer_Age_Group,Year
BB00001,Personal Care,1189,66,78474,15694.8,Convenience Store,Medium,South,Tamil Nadu,Chennai,Tier 1,7,18-25,2021
BB00002,Grocery,69,60,4140,331.2,Convenience Store,Medium,North,Haryana,Faridabad,Tier 3,2,18-25,2022
BB00003,Clothing,2298,47,108006,16200.9,Hypermarket,Medium,South,Tamil Nadu,Chennai,Tier 1,7,26-35,2022
BB00004,Clothing,566,62,35092,5263.8,Convenience Store,Small,West,Gujarat,Surat,Tier 2,11,36-45,2020
BB00005,Home & Kitchen,3235,104,336440,40372.8,Supermarket,Small,East,Odisha,Bhubaneswar,Tier 3,13,18-25,2022
BB00006,Home & Kitchen,422,60,25320,3038.4,Hypermarket,Small,South,Karnataka,Bengaluru,Tier 1,9,36-45,2020
BB00007,Personal Care,575,22,12650,2530.0,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 1,13,46+,2023
BB00008,Clothing,2533,90,227970,34195.5,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,6,18-25,2024
BB00009,Home & Kitchen,4518,77,347886,41746.32,Convenience Store,Small,South,Telangana,Hyderabad,Tier 1,13,46+,2024
BB00010,Grocery,3085,4,12340,987.2,Supermarket,Medium,North,Punjab,Ludhiana,Tier 3,15,18-25,2024
BB00011,Home & Kitchen,3082,55,169510,20341.2,Convenience Store,Medium,East,Odisha,Bhubaneswar,Tier 3,3,46+,2021
BB00012,Clothing,3486,103,359058,53858.7,Hypermarket,Medium,East,Odisha,Cuttack,Tier 3,1,26-35,2022
BB00013,Home & Kitchen,4289,78,334542,40145.04,Convenience Store,Small,East,West Bengal,Durgapur,Tier 3,8,36-45,2021
BB00014,Home & Kitchen,74,100,7400,888.0,Supermarket,Large,South,Karnataka,Bengaluru,Tier 1,3,36-45,2022
BB00015,Clothing,4044,34,137496,20624.4,Hypermarket,Small,West,Maharashtra,Mumbai,Tier 1,4,18-25,2020
BB00016,Grocery,4220,16,67520,5401.6,Supermarket,Small,North,Delhi,New Delhi,Tier 3,2,18-25,2021
BB00017,Grocery,54,115,6210,496.8,Convenience Store,Large,West,Gujarat,Surat,Tier 2,10,26-35,2023
BB00018,Electronics,1643,9,14787,2661.66,Hypermarket,Large,East,Odisha,Bhubaneswar,Tier 3,3,26-35,2023
BB00019,Personal Care,1966,112,220192,44038.4,Hypermarket,Small,South,Tamil Nadu,Chennai,Tier 1,11,18-25,2021
BB00020,Clothing,4446,81,360126,54018.9,Convenience Store,Small,East,West Bengal,Kolkata,Tier 1,10,46+,2024
BB00021,Home & Kitchen,4011,30,120330,14439.6,Hypermarket,Large,South,Telangana,Hyderabad,Tier 1,2,26-35,2020
BB00022,Grocery,481,119,57239,4579.12,Convenience Store,Large,East,Odisha,Bhubaneswar,Tier 3,7,26-35,2022
BB00023,Electronics,1046,60,62760,11296.8,Supermarket,Small,West,Maharashtra,Pune,Tier 2,10,18-25,2024
BB00024,Electronics,2178,90,196020,35283.6,Hypermarket,Small,East,West Bengal,Durgapur,Tier 3,14,36-45,2021
BB00025,Home & Kitchen,4724,68,321232,38547.84,Hypermarket,Large,East,West Bengal,Durgapur,Tier 3,10,46+,2020
BB00026,Grocery,2743,14,38402,3072.16,Hypermarket,Small,West,Gujarat,Ahmedabad,Tier 2,1,36-45,2020
BB00027,Grocery,3604,47,169388,13551.04,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,7,26-35,2020
BB00028,Electronics,611,85,51935,9348.3,Supermarket,Medium,South,Telangana,Hyderabad,Tier 1,7,18-25,2024
BB00029,Grocery,2216,5,11080,886.4,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 2,12,46+,2022
BB00030,Grocery,3862,84,324408,25952.64,Hypermarket,Large,North,Delhi,New Delhi,Tier 3,5,18-25,2023
BB00031,Grocery,3481,104,362024,28961.92,Hypermarket,Large,North,Delhi,New Delhi,Tier 3,13,18-25,2021
BB00032,Home & Kitchen,3900,10,39000,4680.0,Hypermarket,Large,East,Odisha,Bhubaneswar,Tier 3,2,46+,2021
BB00033,Electronics,1576,72,113472,20424.96,Convenience Store,Small,West,Gujarat,Ahmedabad,Tier 2,6,18-25,2022
BB00034,Clothing,1413,113,159669,23950.35,Hypermarket,Small,South,Karnataka,Mysuru,Tier 3,11,46+,2021
BB00035,Personal Care,1355,56,75880,15176.0,Supermarket,Large,West,Gujarat,Surat,Tier 2,4,26-35,2024
BB00036,Electronics,96,95,9120,1641.6,Hypermarket,Medium,West,Maharashtra,Mumbai,Tier 1,14,46+,2020
BB00037,Clothing,1164,97,112908,16936.2,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 1,9,46+,2021
BB00038,Home & Kitchen,4420,20,88400,10608.0,Convenience Store,Medium,East,West Bengal,Durgapur,Tier 3,12,18-25,2020
BB00039,Grocery,1511,78,117858,9428.64,Convenience Store,Small,North,Punjab,Amritsar,Tier 3,4,26-35,2023
BB00040,Grocery,4970,2,9940,795.2,Convenience Store,Small,North,Haryana,Gurgaon,Tier 3,1,26-35,2023
BB00041,Home & Kitchen,2990,99,296010,35521.2,Hypermarket,Small,South,Karnataka,Bengaluru,Tier 1,11,26-35,2023
BB00042,Grocery,1232,57,70224,5617.92,Supermarket,Small,South,Tamil Nadu,Coimbatore,Tier 2,15,36-45,2022
BB00043,Clothing,1404,18,25272,3790.8,Hypermarket,Small,West,Gujarat,Surat,Tier 2,5,46+,2024
BB00044,Grocery,2189,9,19701,1576.08,Hypermarket,Medium,East,West Bengal,Kolkata,Tier 1,5,26-35,2021
BB00045,Clothing,117,19,2223,333.45,Supermarket,Small,East,West Bengal,Durgapur,Tier 3,8,46+,2022
BB00046,Electronics,1769,59,104371,18786.78,Hypermarket,Small,North,Punjab,Ludhiana,Tier 3,12,36-45,2024
BB00047,Home & Kitchen,2589,14,36246,4349.52,Hypermarket,Small,East,West Bengal,Kolkata,Tier 1,12,18-25,2020
BB00048,Home & Kitchen,2886,28,80808,9696.96,Hypermarket,Large,West,Maharashtra,Nagpur,Tier 3,15,18-25,2023
BB00049,Personal Care,3784,101,382184,76436.8,Hypermarket,Small,North,Punjab,Amritsar,Tier 3,11,26-35,2021
BB00050,Electronics,2818,96,270528,48695.04,Hypermarket,Medium,South,Karnataka,Bengaluru,Tier 1,13,36-45,2021
BB00051,Home & Kitchen,2998,106,317788,38134.56,Supermarket,Small,West,Gujarat,Ahmedabad,Tier 2,6,46+,2022
BB00052,Home & Kitchen,4508,98,441784,53014.08,Convenience Store,Small,South,Karnataka,Mysuru,Tier 3,3,18-25,2024
BB00053,Home & Kitchen,146,30,4380,525.6,Supermarket,Small,South,Karnataka,Bengaluru,Tier 1,3,36-45,2021
BB00054,Home & Kitchen,3795,113,428835,51460.2,Convenience Store,Large,North,Punjab,Ludhiana,Tier 3,2,36-45,2020
BB00055,Grocery,2426,106,257156,20572.48,Supermarket,Small,West,Gujarat,Surat,Tier 2,4,18-25,2022
BB00056,Grocery,1172,81,94932,7594.56,Hypermarket,Large,West,Maharashtra,Mumbai,Tier 1,1,18-25,2021
BB00057,Personal Care,475,65,30875,6175.0,Hypermarket,Medium,North,Punjab,Ludhiana,Tier 3,1,26-35,2020
BB00058,Electronics,2370,54,127980,23036.4,Hypermarket,Large,East,Odisha,Cuttack,Tier 3,8,18-25,2020
BB00059,Home & Kitchen,1581,40,63240,7588.8,Convenience Store,Large,South,Karnataka,Mysuru,Tier 3,3,26-35,2024
BB00060,Grocery,3949,43,169807,13584.56,Supermarket,Medium,West,Maharashtra,Pune,Tier 2,14,46+,2024
BB00061,Grocery,1173,53,62169,4973.52,Convenience Store,Large,North,Delhi,New Delhi,Tier 3,13,46+,2020
BB00062,Home & Kitchen,217,13,2821,338.52,Supermarket,Small,West,Gujarat,Surat,Tier 2,3,18-25,2022
BB00063,Personal Care,760,13,9880,1976.0,Hypermarket,Small,South,Karnataka,Mysuru,Tier 3,11,36-45,2020
BB00064,Electronics,555,31,17205,3096.9,Convenience Store,Medium,North,Punjab,Amritsar,Tier 3,3,18-25,2021
BB00065,Clothing,4415,96,423840,63576.0,Hypermarket,Medium,South,Telangana,Hyderabad,Tier 1,8,26-35,2021
BB00066,Grocery,3427,60,205620,16449.6,Convenience Store,Large,North,Haryana,Faridabad,Tier 3,6,36-45,2020
BB00067,Electronics,1273,77,98021,17643.78,Convenience Store,Small,West,Gujarat,Surat,Tier 2,3,36-45,2022
BB00068,Electronics,2409,77,185493,33388.74,Supermarket,Large,North,Punjab,Amritsar,Tier 3,6,36-45,2022
BB00069,Electronics,4630,26,120380,21668.4,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 1,3,26-35,2023
BB00070,Personal Care,3212,101,324412,64882.4,Convenience Store,Medium,East,West Bengal,Durgapur,Tier 3,11,46+,2022
BB00071,Grocery,3455,37,127835,10226.8,Convenience Store,Large,West,Gujarat,Surat,Tier 2,1,46+,2020
BB00072,Clothing,3045,63,191835,28775.25,Hypermarket,Medium,West,Gujarat,Surat,Tier 2,11,46+,2021
BB00073,Electronics,3632,47,170704,30726.72,Supermarket,Small,East,Odisha,Bhubaneswar,Tier 3,12,26-35,2022
BB00074,Clothing,4940,89,439660,65949.0,Supermarket,Small,North,Punjab,Amritsar,Tier 3,9,36-45,2023
BB00075,Grocery,4114,104,427856,34228.48,Convenience Store,Large,South,Karnataka,Bengaluru,Tier 1,2,18-25,2020
BB00076,Grocery,4403,105,462315,36985.2,Hypermarket,Medium,South,Karnataka,Mysuru,Tier 3,4,26-35,2021
BB00077,Home & Kitchen,2127,101,214827,25779.24,Supermarket,Medium,East,Odisha,Cuttack,Tier 3,14,36-45,2023
BB00078,Grocery,1588,87,138156,11052.48,Supermarket,Large,West,Gujarat,Surat,Tier 2,10,46+,2022
BB00079,Grocery,1256,40,50240,4019.2,Hypermarket,Large,East,West Bengal,Kolkata,Tier 1,8,36-45,2020
BB00080,Electronics,2918,109,318062,57251.16,Supermarket,Large,West,Maharashtra,Nagpur,Tier 3,15,18-25,2024
BB00081,Personal Care,478,45,21510,4302.0,Convenience Store,Medium,East,Odisha,Bhubaneswar,Tier 3,12,18-25,2021
BB00082,Home & Kitchen,3726,60,223560,26827.2,Supermarket,Small,North,Haryana,Faridabad,Tier 3,3,46+,2022
BB00083,Electronics,1151,74,85174,15331.32,Hypermarket,Medium,West,Gujarat,Surat,Tier 2,1,26-35,2023
BB00084,Home & Kitchen,237,72,17064,2047.68,Hypermarket,Medium,North,Delhi,New Delhi,Tier 3,14,18-25,2022
BB00085,Electronics,682,16,10912,1964.16,Supermarket,Small,East,Odisha,Cuttack,Tier 3,3,26-35,2021
BB00086,Home & Kitchen,3714,25,92850,11142.0,Convenience Store,Large,West,Maharashtra,Nagpur,Tier 3,15,26-35,2020
BB00087,Clothing,4600,11,50600,7590.0,Convenience Store,Large,South,Karnataka,Mysuru,Tier 3,13,18-25,2021
BB00088,Personal Care,2484,32,79488,15897.6,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 1,13,36-45,2024
BB00089,Grocery,4658,29,135082,10806.56,Convenience Store,Large,West,Maharashtra,Pune,Tier 2,7,26-35,2020
BB00090,Clothing,2072,18,37296,5594.4,Convenience Store,Small,North,Punjab,Amritsar,Tier 3,11,46+,2022
BB00091,Home & Kitchen,957,68,65076,7809.12,Hypermarket,Large,East,Odisha,Bhubaneswar,Tier 3,1,46+,2021
BB00092,Clothing,237,100,23700,3555.0,Hypermarket,Small,South,Telangana,Hyderabad,Tier 1,6,18-25,2024
BB00093,Grocery,2619,93,243567,19485.36,Convenience Store,Small,West,Gujarat,Surat,Tier 2,3,46+,2020
BB00094,Personal Care,573,37,21201,4240.2,Convenience Store,Medium,North,Punjab,Ludhiana,Tier 3,8,46+,2023
BB00095,Electronics,880,111,97680,17582.4,Convenience Store,Medium,South,Karnataka,Bengaluru,Tier 1,6,18-25,2023
BB00096,Clothing,1949,100,194900,29235.0,Hypermarket,Large,South,Karnataka,Bengaluru,Tier 1,2,26-35,2023
BB00097,Clothing,2423,34,82382,12357.3,Convenience Store,Small,East,Odisha,Bhubaneswar,Tier 3,13,26-35,2022
BB00098,Personal Care,4527,41,185607,37121.4,Convenience Store,Large,West,Maharashtra,Mumbai,Tier 1,9,18-25,2024
BB00099,Grocery,2597,58,150626,12050.08,Supermarket,Medium,North,Delhi,New Delhi,Tier 3,13,36-45,2020
BB00100,Home & Kitchen,2202,37,81474,9776.88,Supermarket,Medium,East,Odisha,Cuttack,Tier 3,3,46+,2020
BB00101,Grocery,4205,13,54665,4373.2,Hypermarket,Medium,West,Maharashtra,Mumbai,Tier 1,15,36-45,2020
BB00102,Clothing,1301,94,122294,18344.1,Convenience Store,Large,South,Karnataka,Mysuru,Tier 3,4,36-45,2020
BB00103,Home & Kitchen,2388,61,145668,17480.16,Convenience Store,Medium,West,Gujarat,Surat,Tier 2,4,26-35,2023
BB00104,Electronics,2123,18,38214,6878.52,Supermarket,Medium,North,Punjab,Amritsar,Tier 3,3,46+,2022
BB00105,Grocery,3609,22,79398,6351.84,Convenience Store,Small,West,Maharashtra,Pune,Tier 2,14,46+,2021
BB00106,Electronics,127,116,14732,2651.76,Hypermarket,Medium,East,Odisha,Cuttack,Tier 3,2,18-25,2022
BB00107,Electronics,4654,80,372320,67017.6,Supermarket,Small,South,Karnataka,Bengaluru,Tier 1,15,26-35,2021
BB00108,Clothing,3035,106,321710,48256.5,Supermarket,Medium,West,Gujarat,Surat,Tier 2,9,46+,2022
BB00109,Electronics,1175,76,89300,16074.0,Convenience Store,Medium,West,Maharashtra,Mumbai,Tier 1,11,46+,2024
BB00110,Personal Care,2362,94,222028,44405.6,Hypermarket,Large,South,Karnataka,Bengaluru,Tier 1,15,26-35,2024
BB00111,Grocery,4683,38,177954,14236.32,Hypermarket,Large,South,Karnataka,Bengaluru,Tier 1,13,18-25,2023
BB00112,Personal Care,1783,4,7132,1426.4,Hypermarket,Medium,South,Karnataka,Mysuru,Tier 3,8,36-45,2023
BB00113,Home & Kitchen,1725,36,62100,7452.0,Supermarket,Medium,South,Tamil Nadu,Chennai,Tier 1,14,36-45,2020
BB00114,Home & Kitchen,1739,18,31302,3756.24,Supermarket,Medium,West,Gujarat,Ahmedabad,Tier 2,13,18-25,2022
BB00115,Grocery,4742,109,516878,41350.24,Supermarket,Large,East,West Bengal,Durgapur,Tier 3,13,26-35,2021
BB00116,Home & Kitchen,4971,56,278376,33405.12,Hypermarket,Large,South,Karnataka,Bengaluru,Tier 1,11,18-25,2022
BB00117,Electronics,4725,89,420525,75694.5,Hypermarket,Large,South,Karnataka,Bengaluru,Tier 1,12,18-25,2021
BB00118,Personal Care,3321,89,295569,59113.8,Hypermarket,Small,West,Maharashtra,Pune,Tier 2,5,46+,2023
BB00119,Personal Care,3917,91,356447,71289.4,Convenience Store,Large,West,Maharashtra,Pune,Tier 2,2,18-25,2021
BB00120,Electronics,4067,75,305025,54904.5,Convenience Store,Large,West,Gujarat,Ahmedabad,Tier 2,13,46+,2023
BB00121,Grocery,1761,14,24654,1972.32,Supermarket,Medium,West,Gujarat,Surat,Tier 2,8,18-25,2022
BB00122,Grocery,3138,66,207108,16568.64,Hypermarket,Medium,West,Maharashtra,Pune,Tier 2,1,36-45,2021
BB00123,Grocery,1888,42,79296,6343.68,Convenience Store,Small,East,West Bengal,Kolkata,Tier 1,8,36-45,2022
BB00124,Personal Care,3743,33,123519,24703.8,Convenience Store,Small,South,Karnataka,Mysuru,Tier 3,15,36-45,2024
